title,author,price,publisher,isbn,contributor,date,rank,rank_last_week,weeks_on_list
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-19,3,1,2
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-19,4,3,13
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-19,5,5,36
PHANTOM GAME,Christine Feehan,0.00,Berkley,0593439090,by Christine Feehan,2022-03-19,6,0,1
HOUSE OF SKY AND BREATH,Sarah J. Maas,0.00,Bloomsbury,1635574072,by Sarah J. Maas,2022-03-19,7,4,3
ONE ITALIAN SUMMER,Rebecca Serle,0.00,Atria,1982166797,by Rebecca Serle,2022-03-19,8,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-03-19,9,14,10
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-19,10,7,16
SOOLEY,John Grisham,0.00,Doubleday,0593359534,by John Grisham,2022-03-19,11,0,9
THE MAID,Nita Prose,0.00,Ballantine,0593356152,by Nita Prose,2022-03-19,12,9,9
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222355,by Amor Towles,2022-03-19,13,8,22
THE ATLAS SIX,Olivie Blake,0.00,Tor,1250854512,by Olivie Blake,2022-03-19,14,0,1
THE CLUB,Ellery Lloyd,0.00,Harper,0062997424,by Ellery Lloyd,2022-03-19,15,0,1
"HOOK, LINE, AND SINKER",Tessa Bailey,0.00,Avon,0063045699,by Tessa Bailey,2022-03-18,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-18,2,2,38
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-18,3,1,2
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-18,4,3,13
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-18,5,5,36
PHANTOM GAME,Christine Feehan,0.00,Berkley,0593439090,by Christine Feehan,2022-03-18,6,0,1
HOUSE OF SKY AND BREATH,Sarah J. Maas,0.00,Bloomsbury,1635574072,by Sarah J. Maas,2022-03-18,7,4,3
ONE ITALIAN SUMMER,Rebecca Serle,0.00,Atria,1982166797,by Rebecca Serle,2022-03-18,8,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-03-18,9,14,10
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-18,10,7,16
SOOLEY,John Grisham,0.00,Doubleday,0593359534,by John Grisham,2022-03-18,11,0,9
THE MAID,Nita Prose,0.00,Ballantine,0593356152,by Nita Prose,2022-03-18,12,9,9
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222355,by Amor Towles,2022-03-18,13,8,22
THE ATLAS SIX,Olivie Blake,0.00,Tor,1250854512,by Olivie Blake,2022-03-18,14,0,1
THE CLUB,Ellery Lloyd,0.00,Harper,0062997424,by Ellery Lloyd,2022-03-18,15,0,1
"HOOK, LINE, AND SINKER",Tessa Bailey,0.00,Avon,0063045699,by Tessa Bailey,2022-03-17,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-17,2,2,38
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-17,3,1,2
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-17,4,3,13
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-17,5,5,36
PHANTOM GAME,Christine Feehan,0.00,Berkley,0593439090,by Christine Feehan,2022-03-17,6,0,1
HOUSE OF SKY AND BREATH,Sarah J. Maas,0.00,Bloomsbury,1635574072,by Sarah J. Maas,2022-03-17,7,4,3
ONE ITALIAN SUMMER,Rebecca Serle,0.00,Atria,1982166797,by Rebecca Serle,2022-03-17,8,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-03-17,9,14,10
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-17,10,7,16
SOOLEY,John Grisham,0.00,Doubleday,0593359534,by John Grisham,2022-03-17,11,0,9
THE MAID,Nita Prose,0.00,Ballantine,0593356152,by Nita Prose,2022-03-17,12,9,9
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222355,by Amor Towles,2022-03-17,13,8,22
THE ATLAS SIX,Olivie Blake,0.00,Tor,1250854512,by Olivie Blake,2022-03-17,14,0,1
THE CLUB,Ellery Lloyd,0.00,Harper,0062997424,by Ellery Lloyd,2022-03-17,15,0,1
"HOOK, LINE, AND SINKER",Tessa Bailey,0.00,Avon,0063045699,by Tessa Bailey,2022-03-16,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-16,2,2,38
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-16,3,1,2
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-16,4,3,13
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-16,5,5,36
PHANTOM GAME,Christine Feehan,0.00,Berkley,0593439090,by Christine Feehan,2022-03-16,6,0,1
HOUSE OF SKY AND BREATH,Sarah J. Maas,0.00,Bloomsbury,1635574072,by Sarah J. Maas,2022-03-16,7,4,3
ONE ITALIAN SUMMER,Rebecca Serle,0.00,Atria,1982166797,by Rebecca Serle,2022-03-16,8,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-03-16,9,14,10
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-16,10,7,16
SOOLEY,John Grisham,0.00,Doubleday,0593359534,by John Grisham,2022-03-16,11,0,9
THE MAID,Nita Prose,0.00,Ballantine,0593356152,by Nita Prose,2022-03-16,12,9,9
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222355,by Amor Towles,2022-03-16,13,8,22
THE ATLAS SIX,Olivie Blake,0.00,Tor,1250854512,by Olivie Blake,2022-03-16,14,0,1
THE CLUB,Ellery Lloyd,0.00,Harper,0062997424,by Ellery Lloyd,2022-03-16,15,0,1
"HOOK, LINE, AND SINKER",Tessa Bailey,0.00,Avon,0063045699,by Tessa Bailey,2022-03-15,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-15,2,2,38
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-15,3,1,2
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-15,4,3,13
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-15,5,5,36
PHANTOM GAME,Christine Feehan,0.00,Berkley,0593439090,by Christine Feehan,2022-03-15,6,0,1
HOUSE OF SKY AND BREATH,Sarah J. Maas,0.00,Bloomsbury,1635574072,by Sarah J. Maas,2022-03-15,7,4,3
ONE ITALIAN SUMMER,Rebecca Serle,0.00,Atria,1982166797,by Rebecca Serle,2022-03-15,8,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-03-15,9,14,10
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-15,10,7,16
SOOLEY,John Grisham,0.00,Doubleday,0593359534,by John Grisham,2022-03-15,11,0,9
THE MAID,Nita Prose,0.00,Ballantine,0593356152,by Nita Prose,2022-03-15,12,9,9
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222355,by Amor Towles,2022-03-15,13,8,22
THE ATLAS SIX,Olivie Blake,0.00,Tor,1250854512,by Olivie Blake,2022-03-15,14,0,1
THE CLUB,Ellery Lloyd,0.00,Harper,0062997424,by Ellery Lloyd,2022-03-15,15,0,1
"HOOK, LINE, AND SINKER",Tessa Bailey,0.00,Avon,0063045699,by Tessa Bailey,2022-03-14,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-14,2,2,38
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-14,3,1,2
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-14,4,3,13
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-14,5,5,36
PHANTOM GAME,Christine Feehan,0.00,Berkley,0593439090,by Christine Feehan,2022-03-14,6,0,1
HOUSE OF SKY AND BREATH,Sarah J. Maas,0.00,Bloomsbury,1635574072,by Sarah J. Maas,2022-03-14,7,4,3
ONE ITALIAN SUMMER,Rebecca Serle,0.00,Atria,1982166797,by Rebecca Serle,2022-03-14,8,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-03-14,9,14,10
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-14,10,7,16
SOOLEY,John Grisham,0.00,Doubleday,0593359534,by John Grisham,2022-03-14,11,0,9
THE MAID,Nita Prose,0.00,Ballantine,0593356152,by Nita Prose,2022-03-14,12,9,9
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222355,by Amor Towles,2022-03-14,13,8,22
THE ATLAS SIX,Olivie Blake,0.00,Tor,1250854512,by Olivie Blake,2022-03-14,14,0,1
THE CLUB,Ellery Lloyd,0.00,Harper,0062997424,by Ellery Lloyd,2022-03-14,15,0,1
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-13,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-13,2,2,37
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-13,3,5,12
HOUSE OF SKY AND BREATH,Sarah J. Maas,0.00,Bloomsbury,1635574072,by Sarah J. Maas,2022-03-13,4,1,2
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-13,5,6,35
NOTHING TO LOSE,J.A. Jance,0.00,Morrow,0063010070,by J.A. Jance,2022-03-13,6,0,1
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-13,7,12,15
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222355,by Amor Towles,2022-03-13,8,9,21
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-03-13,9,10,8
WISH YOU WERE HERE,Jodi Picoult,0.00,Ballantine,None,by Jodi Picoult,2022-03-13,10,0,9
CARAMEL PECAN ROLL MURDER,Joanne Fluke,0.00,Kensington Cozies,None,by Joanne Fluke,2022-03-13,11,0,1
THE MIDNIGHT LIBRARY,Matt Haig,0.00,Viking,0525559477,by Matt Haig,2022-03-13,12,13,56
THE LAST THING HE TOLD ME,Laura Dave,0.00,Simon & Schuster,1501171348,by Laura Dave,2022-03-13,13,15,36
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-03-13,14,11,9
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-03-13,15,0,151
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-12,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-12,2,2,37
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-12,3,5,12
HOUSE OF SKY AND BREATH,Sarah J. Maas,0.00,Bloomsbury,1635574072,by Sarah J. Maas,2022-03-12,4,1,2
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-12,5,6,35
NOTHING TO LOSE,J.A. Jance,0.00,Morrow,0063010070,by J.A. Jance,2022-03-12,6,0,1
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-12,7,12,15
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222355,by Amor Towles,2022-03-12,8,9,21
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-03-12,9,10,8
WISH YOU WERE HERE,Jodi Picoult,0.00,Ballantine,None,by Jodi Picoult,2022-03-12,10,0,9
CARAMEL PECAN ROLL MURDER,Joanne Fluke,0.00,Kensington Cozies,None,by Joanne Fluke,2022-03-12,11,0,1
THE MIDNIGHT LIBRARY,Matt Haig,0.00,Viking,0525559477,by Matt Haig,2022-03-12,12,13,56
THE LAST THING HE TOLD ME,Laura Dave,0.00,Simon & Schuster,1501171348,by Laura Dave,2022-03-12,13,15,36
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-03-12,14,11,9
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-03-12,15,0,151
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-11,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-11,2,2,37
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-11,3,5,12
HOUSE OF SKY AND BREATH,Sarah J. Maas,0.00,Bloomsbury,1635574072,by Sarah J. Maas,2022-03-11,4,1,2
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-11,5,6,35
NOTHING TO LOSE,J.A. Jance,0.00,Morrow,0063010070,by J.A. Jance,2022-03-11,6,0,1
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-11,7,12,15
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222355,by Amor Towles,2022-03-11,8,9,21
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-03-11,9,10,8
WISH YOU WERE HERE,Jodi Picoult,0.00,Ballantine,None,by Jodi Picoult,2022-03-11,10,0,9
CARAMEL PECAN ROLL MURDER,Joanne Fluke,0.00,Kensington Cozies,None,by Joanne Fluke,2022-03-11,11,0,1
THE MIDNIGHT LIBRARY,Matt Haig,0.00,Viking,0525559477,by Matt Haig,2022-03-11,12,13,56
THE LAST THING HE TOLD ME,Laura Dave,0.00,Simon & Schuster,1501171348,by Laura Dave,2022-03-11,13,15,36
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-03-11,14,11,9
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-03-11,15,0,151
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-10,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-10,2,2,37
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-10,3,5,12
HOUSE OF SKY AND BREATH,Sarah J. Maas,0.00,Bloomsbury,1635574072,by Sarah J. Maas,2022-03-10,4,1,2
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-10,5,6,35
NOTHING TO LOSE,J.A. Jance,0.00,Morrow,0063010070,by J.A. Jance,2022-03-10,6,0,1
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-10,7,12,15
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222355,by Amor Towles,2022-03-10,8,9,21
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-03-10,9,10,8
WISH YOU WERE HERE,Jodi Picoult,0.00,Ballantine,None,by Jodi Picoult,2022-03-10,10,0,9
CARAMEL PECAN ROLL MURDER,Joanne Fluke,0.00,Kensington Cozies,None,by Joanne Fluke,2022-03-10,11,0,1
THE MIDNIGHT LIBRARY,Matt Haig,0.00,Viking,0525559477,by Matt Haig,2022-03-10,12,13,56
THE LAST THING HE TOLD ME,Laura Dave,0.00,Simon & Schuster,1501171348,by Laura Dave,2022-03-10,13,15,36
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-03-10,14,11,9
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-03-10,15,0,151
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-09,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-09,2,2,37
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-09,3,5,12
HOUSE OF SKY AND BREATH,Sarah J. Maas,0.00,Bloomsbury,1635574072,by Sarah J. Maas,2022-03-09,4,1,2
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-09,5,6,35
NOTHING TO LOSE,J.A. Jance,0.00,Morrow,0063010070,by J.A. Jance,2022-03-09,6,0,1
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-09,7,12,15
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222355,by Amor Towles,2022-03-09,8,9,21
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-03-09,9,10,8
WISH YOU WERE HERE,Jodi Picoult,0.00,Ballantine,None,by Jodi Picoult,2022-03-09,10,0,9
CARAMEL PECAN ROLL MURDER,Joanne Fluke,0.00,Kensington Cozies,None,by Joanne Fluke,2022-03-09,11,0,1
THE MIDNIGHT LIBRARY,Matt Haig,0.00,Viking,0525559477,by Matt Haig,2022-03-09,12,13,56
THE LAST THING HE TOLD ME,Laura Dave,0.00,Simon & Schuster,1501171348,by Laura Dave,2022-03-09,13,15,36
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-03-09,14,11,9
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-03-09,15,0,151
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-08,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-08,2,2,37
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-08,3,5,12
HOUSE OF SKY AND BREATH,Sarah J. Maas,0.00,Bloomsbury,1635574072,by Sarah J. Maas,2022-03-08,4,1,2
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-08,5,6,35
NOTHING TO LOSE,J.A. Jance,0.00,Morrow,0063010070,by J.A. Jance,2022-03-08,6,0,1
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-08,7,12,15
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222355,by Amor Towles,2022-03-08,8,9,21
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-03-08,9,10,8
WISH YOU WERE HERE,Jodi Picoult,0.00,Ballantine,None,by Jodi Picoult,2022-03-08,10,0,9
CARAMEL PECAN ROLL MURDER,Joanne Fluke,0.00,Kensington Cozies,None,by Joanne Fluke,2022-03-08,11,0,1
THE MIDNIGHT LIBRARY,Matt Haig,0.00,Viking,0525559477,by Matt Haig,2022-03-08,12,13,56
THE LAST THING HE TOLD ME,Laura Dave,0.00,Simon & Schuster,1501171348,by Laura Dave,2022-03-08,13,15,36
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-03-08,14,11,9
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-03-08,15,0,151
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-07,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-07,2,2,37
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-07,3,5,12
HOUSE OF SKY AND BREATH,Sarah J. Maas,0.00,Bloomsbury,1635574072,by Sarah J. Maas,2022-03-07,4,1,2
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-07,5,6,35
NOTHING TO LOSE,J.A. Jance,0.00,Morrow,0063010070,by J.A. Jance,2022-03-07,6,0,1
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-07,7,12,15
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222355,by Amor Towles,2022-03-07,8,9,21
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-03-07,9,10,8
WISH YOU WERE HERE,Jodi Picoult,0.00,Ballantine,None,by Jodi Picoult,2022-03-07,10,0,9
CARAMEL PECAN ROLL MURDER,Joanne Fluke,0.00,Kensington Cozies,None,by Joanne Fluke,2022-03-07,11,0,1
THE MIDNIGHT LIBRARY,Matt Haig,0.00,Viking,0525559477,by Matt Haig,2022-03-07,12,13,56
THE LAST THING HE TOLD ME,Laura Dave,0.00,Simon & Schuster,1501171348,by Laura Dave,2022-03-07,13,15,36
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-03-07,14,11,9
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-03-07,15,0,151
HOUSE OF SKY AND BREATH,Sarah J. Maas,0.00,Bloomsbury,1635574072,by Sarah J. Maas,2022-03-06,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-06,2,2,36
DIABLO MESA,Douglas Preston and Lincoln Child,0.00,Grand Central,153873673X,by Douglas Preston and Lincoln Child,2022-03-06,3,0,1
SIERRA SIX,Mark Greaney,0.00,Berkley,0593099001,by Mark Greaney,2022-03-06,4,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-06,5,4,11
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-06,6,5,34
ABANDONED IN DEATH,J.D. Robb,0.00,St. Martin's,1250278228,by J.D. Robb,2022-03-06,7,1,2
HOUSE OF EARTH AND BLOOD,Sarah J. Maas,0.00,Bloomsbury,1635577020,by Sarah J. Maas,2022-03-06,8,0,3
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222355,by Amor Towles,2022-03-06,9,11,20
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-03-06,10,10,7
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-03-06,11,6,8
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-06,12,7,14
THE MIDNIGHT LIBRARY,Matt Haig,0.00,Viking,0525559477,by Matt Haig,2022-03-06,13,9,55
THE CHRISTIE AFFAIR,Nina de Gramont,0.00,St. Martin's,1250274613,by Nina de Gramont,2022-03-06,14,0,2
THE LAST THING HE TOLD ME,Laura Dave,0.00,Simon & Schuster,1501171348,by Laura Dave,2022-03-06,15,14,35
HOUSE OF SKY AND BREATH,Sarah J. Maas,0.00,Bloomsbury,1635574072,by Sarah J. Maas,2022-03-05,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-05,2,2,36
DIABLO MESA,Douglas Preston and Lincoln Child,0.00,Grand Central,153873673X,by Douglas Preston and Lincoln Child,2022-03-05,3,0,1
SIERRA SIX,Mark Greaney,0.00,Berkley,0593099001,by Mark Greaney,2022-03-05,4,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-05,5,4,11
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-05,6,5,34
ABANDONED IN DEATH,J.D. Robb,0.00,St. Martin's,1250278228,by J.D. Robb,2022-03-05,7,1,2
HOUSE OF EARTH AND BLOOD,Sarah J. Maas,0.00,Bloomsbury,1635577020,by Sarah J. Maas,2022-03-05,8,0,3
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222355,by Amor Towles,2022-03-05,9,11,20
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-03-05,10,10,7
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-03-05,11,6,8
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-05,12,7,14
THE MIDNIGHT LIBRARY,Matt Haig,0.00,Viking,0525559477,by Matt Haig,2022-03-05,13,9,55
THE CHRISTIE AFFAIR,Nina de Gramont,0.00,St. Martin's,1250274613,by Nina de Gramont,2022-03-05,14,0,2
THE LAST THING HE TOLD ME,Laura Dave,0.00,Simon & Schuster,1501171348,by Laura Dave,2022-03-05,15,14,35
HOUSE OF SKY AND BREATH,Sarah J. Maas,0.00,Bloomsbury,1635574072,by Sarah J. Maas,2022-03-04,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-04,2,2,36
DIABLO MESA,Douglas Preston and Lincoln Child,0.00,Grand Central,153873673X,by Douglas Preston and Lincoln Child,2022-03-04,3,0,1
SIERRA SIX,Mark Greaney,0.00,Berkley,0593099001,by Mark Greaney,2022-03-04,4,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-04,5,4,11
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-04,6,5,34
ABANDONED IN DEATH,J.D. Robb,0.00,St. Martin's,1250278228,by J.D. Robb,2022-03-04,7,1,2
HOUSE OF EARTH AND BLOOD,Sarah J. Maas,0.00,Bloomsbury,1635577020,by Sarah J. Maas,2022-03-04,8,0,3
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222355,by Amor Towles,2022-03-04,9,11,20
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-03-04,10,10,7
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-03-04,11,6,8
